test_instance_id,sigma_squared,uncertainty_stratum
25773,0.0004585723,LOW
25818,0.000414496,LOW
25830,0.00093853474,LOW
25921,0.0005651496,LOW
25996,0.0008419335,LOW
26037,0.00021391569,LOW
26404,0.0009308114,LOW
26673,4.4793996e-05,LOW
26703,0.00011377644,LOW
26925,7.732992e-05,LOW
27563,0.0005517669,LOW
27619,6.407454e-06,LOW
27779,0.0008046849,LOW
28530,0.0009783601,LOW
28693,0.0005408027,LOW
29428,0.00022813916,LOW
29443,2.9064753e-05,LOW
29555,0.00039543293,LOW
29935,0.00040434024,LOW
29937,0.0005744215,LOW
29984,0.0008812418,LOW
29986,0.00035211386,LOW
30152,0.00076781464,LOW
30179,0.0009893848,LOW
30191,0.0007726838,LOW
30358,0.0008031103,LOW
30596,0.0003979751,LOW
30619,0.00039908107,LOW
30672,0.0009268718,LOW
30753,0.00050099974,LOW
30825,3.402343e-05,LOW
30944,0.00028385452,LOW
31080,8.76495e-05,LOW
31318,3.5739937e-05,LOW
31405,3.740097e-05,LOW
31556,0.00054327643,LOW
31752,3.894735e-05,LOW
31903,4.8723385e-05,LOW
31959,0.00039969847,LOW
31970,0.00079044973,LOW
32033,0.0006777869,LOW
32258,0.00060846674,LOW
32627,0.0009984737,LOW
32900,0.00023765051,LOW
33489,0.0003577109,LOW
33662,8.617554e-05,LOW
33717,0.0008938246,LOW
33820,0.00012226598,LOW
33985,3.8660073e-05,LOW
34370,4.6552188e-05,LOW
34954,0.00015672152,LOW
35043,0.00041863916,LOW
35244,0.0004281824,LOW
35297,0.00057991286,LOW
35507,0.00079005567,LOW
35819,0.0004955632,LOW
35916,0.00012306999,LOW
35967,0.0009424666,LOW
35983,0.00037555993,LOW
36139,5.075556e-05,LOW
36152,3.1514952e-05,LOW
36334,0.00018158744,LOW
36693,0.00030482083,LOW
36782,0.00097190595,LOW
37308,0.00039207374,LOW
37451,6.669294e-05,LOW
37798,2.0527525e-05,LOW
37842,0.00017218041,LOW
545,0.0016137914,MEDIUM
883,0.0012609772,MEDIUM
924,0.0016727211,MEDIUM
1084,0.0011914548,MEDIUM
1096,0.0012927921,MEDIUM
1219,0.001610014,MEDIUM
1648,0.0014695531,MEDIUM
2010,0.0015892526,MEDIUM
2103,0.0015523611,MEDIUM
2202,0.001547235,MEDIUM
2290,0.0010784226,MEDIUM
2333,0.0011027004,MEDIUM
2703,0.0015197315,MEDIUM
2966,0.0012152126,MEDIUM
3182,0.001650627,MEDIUM
3282,0.0012519968,MEDIUM
3799,0.0012613679,MEDIUM
4460,0.0015604007,MEDIUM
4900,0.0017618911,MEDIUM
4973,0.0011852903,MEDIUM
5378,0.0013616091,MEDIUM
5611,0.0012567106,MEDIUM
5818,0.0015476472,MEDIUM
5969,0.0013978546,MEDIUM
6135,0.0015734566,MEDIUM
6182,0.0012423089,MEDIUM
6373,0.0013197452,MEDIUM
6751,0.0013648126,MEDIUM
6783,0.0014196895,MEDIUM
6978,0.0015589084,MEDIUM
7113,0.0011798154,MEDIUM
7431,0.0011628954,MEDIUM
7524,0.0016014971,MEDIUM
7533,0.0012019394,MEDIUM
7562,0.0012988249,MEDIUM
7617,0.0012557625,MEDIUM
7706,0.0013926541,MEDIUM
7958,0.0012452746,MEDIUM
8292,0.0014817042,MEDIUM
8507,0.0016540405,MEDIUM
8678,0.0010841684,MEDIUM
8743,0.001618849,MEDIUM
8832,0.001401858,MEDIUM
9243,0.0014258146,MEDIUM
9297,0.001176272,MEDIUM
9444,0.0011013625,MEDIUM
9776,0.0012013025,MEDIUM
10143,0.0013786906,MEDIUM
10588,0.0010736571,MEDIUM
10765,0.0011017171,MEDIUM
10907,0.0015179999,MEDIUM
11078,0.0016323065,MEDIUM
11095,0.001480872,MEDIUM
11214,0.0012061691,MEDIUM
11303,0.001365051,MEDIUM
11368,0.0013329416,MEDIUM
11574,0.0016787535,MEDIUM
11923,0.0015207604,MEDIUM
12050,0.0011703183,MEDIUM
12189,0.0016238478,MEDIUM
12193,0.0012201869,MEDIUM
12394,0.0016445625,MEDIUM
12493,0.001103147,MEDIUM
13427,0.0010845242,MEDIUM
14161,0.0015927769,MEDIUM
14222,0.0010586515,MEDIUM
14960,0.0013173618,MEDIUM
15279,0.0010990341,MEDIUM
15412,0.0015950794,MEDIUM
15840,0.0015065596,MEDIUM
15854,0.0017580224,MEDIUM
16026,0.0012594602,MEDIUM
16609,0.001706919,MEDIUM
16643,0.0016132357,MEDIUM
16644,0.0012633373,MEDIUM
16669,0.0012127868,MEDIUM
16875,0.0012463424,MEDIUM
17079,0.0012493556,MEDIUM
17128,0.0017494595,MEDIUM
17365,0.0012124841,MEDIUM
17453,0.0016729761,MEDIUM
17854,0.0015923571,MEDIUM
17858,0.0013851975,MEDIUM
18191,0.0014195489,MEDIUM
18245,0.0013504503,MEDIUM
18296,0.0017396157,MEDIUM
18341,0.0013712859,MEDIUM
18761,0.0016387311,MEDIUM
18850,0.001156948,MEDIUM
18897,0.0017711916,MEDIUM
18984,0.0017056086,MEDIUM
19336,0.0014688274,MEDIUM
19432,0.0014106269,MEDIUM
19458,0.0016555001,MEDIUM
19662,0.0010548311,MEDIUM
20128,0.0015151936,MEDIUM
20279,0.0012058152,MEDIUM
20439,0.0015000986,MEDIUM
20597,0.0011718594,MEDIUM
20620,0.0013890098,MEDIUM
20861,0.0013750598,MEDIUM
21017,0.0017406777,MEDIUM
21126,0.0011421113,MEDIUM
21511,0.0010654868,MEDIUM
21858,0.0011854449,MEDIUM
21898,0.0015552847,MEDIUM
22020,0.0014295924,MEDIUM
22111,0.001478002,MEDIUM
22254,0.0013098158,MEDIUM
22791,0.0013156701,MEDIUM
23127,0.0014801933,MEDIUM
23836,0.0011225884,MEDIUM
24085,0.001449152,MEDIUM
24222,0.0010681236,MEDIUM
24358,0.001671157,MEDIUM
24391,0.001290226,MEDIUM
24415,0.0012864295,MEDIUM
24569,0.0015927154,MEDIUM
24580,0.0014479931,MEDIUM
24623,0.0016744824,MEDIUM
24646,0.0017125523,MEDIUM
24680,0.001327136,MEDIUM
24691,0.001587525,MEDIUM
24740,0.0011092345,MEDIUM
24876,0.0013100002,MEDIUM
24888,0.0012943248,MEDIUM
25068,0.0016288786,MEDIUM
25084,0.0011617746,MEDIUM
25281,0.0011541428,MEDIUM
25389,0.0016825558,MEDIUM
25548,0.0017458447,MEDIUM
25768,0.0016682007,MEDIUM
26174,0.0013451193,MEDIUM
26218,0.0016110282,MEDIUM
26236,0.0013077416,MEDIUM
26329,0.0012008302,MEDIUM
26421,0.0014471089,MEDIUM
26476,0.0011891917,MEDIUM
26818,0.001717905,MEDIUM
27081,0.0014543061,MEDIUM
27108,0.0015289497,MEDIUM
27359,0.0012865439,MEDIUM
27916,0.0013548662,MEDIUM
27977,0.0014996779,MEDIUM
28150,0.0015389634,MEDIUM
28865,0.0012499609,MEDIUM
29014,0.0015553423,MEDIUM
29682,0.0012840603,MEDIUM
29696,0.0013322155,MEDIUM
29820,0.0016520638,MEDIUM
30132,0.0013934271,MEDIUM
30136,0.0016255446,MEDIUM
30170,0.0011508273,MEDIUM
30171,0.0015457561,MEDIUM
30304,0.0012440337,MEDIUM
30334,0.0016213437,MEDIUM
30352,0.0011400573,MEDIUM
30508,0.0016445525,MEDIUM
30761,0.0017542765,MEDIUM
30789,0.0012510683,MEDIUM
30824,0.0016398147,MEDIUM
30925,0.0010890417,MEDIUM
31002,0.001425742,MEDIUM
31106,0.0014469128,MEDIUM
31307,0.0011163333,MEDIUM
31536,0.0015644361,MEDIUM
31622,0.0017551248,MEDIUM
31763,0.0010721359,MEDIUM
31972,0.0015161184,MEDIUM
32130,0.0014932561,MEDIUM
32199,0.0014884954,MEDIUM
32205,0.0011375659,MEDIUM
32254,0.0013934227,MEDIUM
32476,0.0016244935,MEDIUM
32853,0.0014383292,MEDIUM
33116,0.0010890277,MEDIUM
33668,0.0016777429,MEDIUM
33794,0.0012247199,MEDIUM
33844,0.0011119279,MEDIUM
33934,0.0010643159,MEDIUM
34137,0.0012734476,MEDIUM
34449,0.0015849825,MEDIUM
35088,0.001185998,MEDIUM
35167,0.0012151854,MEDIUM
35379,0.0012382616,MEDIUM
35430,0.0017203667,MEDIUM
35543,0.0017687349,MEDIUM
35856,0.0015238379,MEDIUM
35954,0.0010843044,MEDIUM
36000,0.0014706628,MEDIUM
36014,0.0010535461,MEDIUM
36146,0.0015144647,MEDIUM
36165,0.0010693651,MEDIUM
36312,0.0013975515,MEDIUM
36653,0.0017414285,MEDIUM
36730,0.0013252305,MEDIUM
37302,0.0012822131,MEDIUM
37494,0.0010339355,MEDIUM
37771,0.0017265611,MEDIUM
37820,0.0012087185,MEDIUM
